bank_id,date,description,ref_number,credit,debit
BNK00378,2026-06-30,NEFT CR Copeland Group,TXN100368,38172.92,0.0
BNK00237,2026-08-19,NEFT CR Thompson PLC,TXN100229,20335.02,0.0
BNK00123,2026-07-20,"NEFT CR Washington, Allen an",TXN100121,15184.24,0.0
BNK00057,2026-08-01,NEFT CR Martin Inc,TXN100056,43993.95,0.0
BNK00452,2026-07-29,NEFT CR Diaz-Morales,TXN100441,9193.53,0.0
BNK00100,2026-08-08,"NEFT CR Joyce, Wilson and La",TXN100099,13207.81,0.0
BNK00443,2026-06-28,NEFT CR Dougherty-Lin,TXN100433,4107.64,0.0
BNK00478,2026-07-05,"NEFT CR Rhodes, James and Ba",TXN100465,16950.04,0.0
BNK00207,2026-08-11,"NEFT CR Ramos, Williams and ",TXN100203,41486.54,0.0
BNK00139,2026-07-30,NEFT CR Walton-Decker,TXN100137,9740.72,0.0
BNK00392,2026-07-18,NEFT CR Mullins and Sons,TXN100382,46471.88,0.0
BNK00424,2026-08-13,NEFT CR Anderson-Calderon,TXN100414,16444.19,0.0
BNK00477,2026-07-27,"NEFT CR Peck, Pope and Hill",TXN100464,1372.47,0.0
BNK00003,2026-08-15,NEFT CR Garza Inc,TXN100002,33036.97,0.0
BNK00213,2026-08-11,"NEFT CR Carter, Thornton and",TXN100209,21513.18,0.0
BNK00319,2026-08-06,NEFT CR Anderson PLC,TXN100310,12904.66,0.0
BNK00202,2026-07-26,NEFT CR Steele-Roberts,TXN100199,21476.87,0.0
BNK00055,2026-06-25,NEFT CR House and Sons,TXN100054,33743.69,0.0
BNK00209,2026-07-05,NEFT CR Dudley PLC,TXN100205,27973.09,0.0
BNK00268,2026-08-06,"NEFT CR Garcia, Burns and Ru",TXN100260,42030.26,0.0
BNK00494,2026-08-15,"NEFT CR Snyder, Mays and Ros",TXN100481,7198.93,0.0
BNK00482,2026-07-20,"NEFT CR Horton, Taylor and G",TXN100469,2317.17,0.0
BNK00316,2026-07-17,NEFT CR Joyce-Brown,TXN100307,8748.11,0.0
BNK00304,2026-08-17,NEFT CR Lynch Ltd,TXN100295,16812.23,0.0
BNK00408,2026-07-01,"NEFT CR Taylor, Richardson a",TXN100398,45108.84,0.0
BNK00507,2026-07-08,NEFT CR Adkins-Obrien,TXN100493,23128.85,0.0
BNK00112,2026-07-28,NEFT CR Cardenas and Sons,TXN100110,21378.29,0.0
BNK00299,2026-07-05,NEFT CR Gomez-Ortega,TXN100290,6552.85,0.0
BNK00437,2026-08-02,NEFT CR Chavez-Barker,TXN100427,16652.54,0.0
BNK00508,2026-08-03,"NEFT CR Dunn, Ruiz and Medin",TXN100494,1411.52,0.0
BNK00385,2026-06-30,NEFT CR Allen-Sandoval,TXN100375,26145.59,0.0
BNK00463,2026-07-28,"NEFT CR Rodriguez, Butler an",TXN100450,25783.12,0.0
BNK00105,2026-07-23,"NEFT CR Parker, Ortiz and Po",TXN100104,31020.35,0.0
BNK00125,2026-08-15,NEFT CR Taylor and Sons,TXN100123,16281.69,0.0
BNK00467,2026-07-17,NEFT CR Armstrong Ltd,TXN100454,27493.2,0.0
BNK00244,2026-08-03,NEFT CR Rodriguez-James,TXN100236,48451.89,0.0
BNK00227,2026-08-15,NEFT CR Bowen Group,TXN100220,29684.55,0.0
BNK00340,2026-06-30,NEFT CR Garcia-Nolan,TXN100332,41946.38,0.0
BNK00004,2026-06-26,NEFT CR Robinson PLC,TXN100003,29192.02,0.0
BNK00015,2026-07-09,NEFT CR Kelly-Santiago,TXN100014,30249.56,0.0
BNK00136,2026-08-17,"NEFT CR Johnson, Day and Tay",TXN100134,32698.58,0.0
BNK00254,2026-07-29,"NEFT CR Shaw, Nelson and Mar",TXN100246,44218.13,0.0
BNK00311,2026-06-29,NEFT CR Moore PLC,TXN100302,34675.12,0.0
BNK00372,2026-07-26,NEFT CR Taylor LLC,TXN100362,17740.63,0.0
BNK00060,2026-08-16,"NEFT CR Higgins, Moore and P",TXN100059,3913.21,0.0
BNK00436,2026-07-22,"NEFT CR Frye, Webb and Balla",TXN100426,42435.78,0.0
BNK00102,2026-08-13,"NEFT CR Mcdaniel, Bentley an",TXN100101,35297.67,0.0
BNK00138,2026-07-25,NEFT CR Gibson LLC,TXN100136,19986.17,0.0
BNK00281,2026-08-20,NEFT CR Smith-Baker,TXN100272,27313.12,0.0
BNK00097,2026-08-15,NEFT CR Crosby-Wilson,TXN100095,43052.69,0.0
BNK00076,2026-07-23,"NEFT CR Garcia, Humphrey and",TXN100074,8527.8,0.0
BNK00276,2026-07-17,NEFT CR Gallegos PLC,TXN100267,10970.63,0.0
BNK00027,2026-08-03,"NEFT CR Brown, James and Fer",TXN100025,39444.57,0.0
BNK00201,2026-07-26,NEFT CR Santiago-Hodge,TXN100198,14609.12,0.0
BNK00363,2026-08-11,"NEFT CR Barnes, Martin and G",TXN100353,4936.06,0.0
BNK00397,2026-08-13,NEFT CR Owen-Acosta,TXN100387,6407.17,0.0
BNK00275,2026-07-17,NEFT CR Buchanan and Sons,TXN100267,11000.62,0.0
BNK00126,2026-07-31,"NEFT CR Hernandez, Lewis and",TXN100124,17457.73,0.0
