entry_id,txn_ref,amount,entry_date,account_code
ERP00001,TXN100000,32151.63,2026-07-03,4010-SALES-INTL
ERP00002,TXN100001,12622.15,2026-07-14,4000-SALES
ERP00003,TXN100002,33996.62,2026-08-14,4000-SALES
ERP00004,TXN100003,29729.38,2026-06-25,4000-SALES
ERP00005,TXN100004,11322.58,2026-06-25,4000-SALES
ERP00006,TXN100005,28281.63,2026-07-14,4020-SUBSCRIPTIONS
ERP00007,TXN100006,27474.6,2026-06-23,4010-SALES-INTL
ERP00008,TXN100007,40566.81,2026-07-19,4000-SALES
ERP00009,TXN100008,35057.9,2026-07-02,4000-SALES
ERP00010,TXN100009,11158.03,2026-07-26,4000-SALES
ERP00011,TXN100010,5090.92,2026-07-05,4010-SALES-INTL
ERP00012,TXN100011,30384.44,2026-07-28,4020-SUBSCRIPTIONS
ERP00013,TXN100012,23241.53,2026-07-21,4010-SALES-INTL
ERP00014,TXN100013,4400.61,2026-07-29,4020-SUBSCRIPTIONS
ERP00015,TXN100014,31116.73,2026-07-08,4020-SUBSCRIPTIONS
ERP00016,TXN100015,10018.29,2026-06-29,4020-SUBSCRIPTIONS
ERP00017,TXN100016,11780.96,2026-08-06,4000-SALES
ERP00018,TXN100017,42838.23,2026-08-16,4010-SALES-INTL
ERP00019,TXN100018,14259.69,2026-07-15,4010-SALES-INTL
ERP00020,TXN100019,8551.38,2026-07-18,4020-SUBSCRIPTIONS
ERP00021,TXN100020,13715.4,2026-07-23,4020-SUBSCRIPTIONS
ERP00022,TXN100021,4034.42,2026-08-06,4020-SUBSCRIPTIONS
ERP00023,TXN100022,36591.78,2026-08-16,4010-SALES-INTL
ERP00024,TXN100023,13862.42,2026-07-31,4020-SUBSCRIPTIONS
ERP00025,TXN100024,28069.01,2026-08-11,4000-SALES
ERP00026,TXN100025,40349.77,2026-08-02,4000-SALES
ERP00027,TXN100026,10943.65,2026-08-13,4020-SUBSCRIPTIONS
ERP00028,TXN100027,16076.56,2026-06-24,4010-SALES-INTL
ERP00029,TXN100028,44291.82,2026-07-18,4000-SALES
ERP00030,TXN100029,13611.57,2026-06-23,4020-SUBSCRIPTIONS
ERP00031,TXN100030,27179.38,2026-07-10,4010-SALES-INTL
ERP00032,TXN100031,44942.23,2026-08-11,4000-SALES
ERP00033,TXN100032,49867.63,2026-08-13,4010-SALES-INTL
ERP00034,TXN100033,5000.02,2026-06-24,4000-SALES
ERP00035,TXN100034,8065.65,2026-07-03,4020-SUBSCRIPTIONS
ERP00036,TXN100035,21396.92,2026-07-22,4010-SALES-INTL
ERP00037,TXN100036,29996.48,2026-06-30,4010-SALES-INTL
ERP00038,TXN100037,48568.38,2026-08-13,4000-SALES
ERP00039,TXN100038,34174.03,2026-08-15,4010-SALES-INTL
ERP00040,TXN100039,38545.64,2026-08-03,4010-SALES-INTL
ERP00041,TXN100040,22020.88,2026-07-12,4020-SUBSCRIPTIONS
ERP00042,TXN100041,43854.72,2026-08-04,4020-SUBSCRIPTIONS
ERP00043,TXN100042,38217.13,2026-06-25,4000-SALES
ERP00044,TXN100043,43590.67,2026-06-28,4020-SUBSCRIPTIONS
ERP00045,TXN100044,25629.31,2026-07-25,4010-SALES-INTL
ERP00046,TXN100045,38244.28,2026-08-09,4020-SUBSCRIPTIONS
ERP00047,TXN100046,45965.43,2026-08-17,4010-SALES-INTL
ERP00048,TXN100047,1464.1,2026-07-11,4010-SALES-INTL
ERP00049,TXN100048,12352.89,2026-07-27,4020-SUBSCRIPTIONS
ERP00050,TXN100049,47374.0,2026-06-28,4010-SALES-INTL
ERP00051,TXN100050,40893.15,2026-07-25,4020-SUBSCRIPTIONS
ERP00052,TXN100051,38408.8,2026-08-14,4010-SALES-INTL
ERP00053,TXN100052,47369.01,2026-08-06,4020-SUBSCRIPTIONS
ERP00054,TXN100053,43685.44,2026-08-05,4020-SUBSCRIPTIONS
ERP00055,TXN100054,34648.45,2026-06-24,4010-SALES-INTL
ERP00056,TXN100055,49759.89,2026-07-09,4010-SALES-INTL
ERP00057,TXN100056,45030.9,2026-07-31,4000-SALES
ERP00058,TXN100057,11622.52,2026-07-30,4020-SUBSCRIPTIONS
ERP00059,TXN100058,27919.12,2026-07-20,4000-SALES
ERP00060,TXN100059,4014.16,2026-08-15,4000-SALES
ERP00061,TXN100060,3836.32,2026-06-28,4010-SALES-INTL
ERP00062,TXN100061,4007.44,2026-08-13,4020-SUBSCRIPTIONS
ERP00063,TXN100062,24528.02,2026-06-30,4020-SUBSCRIPTIONS
ERP00064,TXN100063,46807.95,2026-07-15,4010-SALES-INTL
ERP00065,TXN100064,12528.36,2026-07-16,4010-SALES-INTL
ERP00066,TXN100065,9925.29,2026-08-18,4010-SALES-INTL
ERP00067,TXN100066,18037.73,2026-07-23,4020-SUBSCRIPTIONS
ERP00068,TXN100067,3181.47,2026-07-22,4020-SUBSCRIPTIONS
ERP00069,TXN100068,5371.68,2026-06-30,4010-SALES-INTL
ERP00070,TXN100069,40129.33,2026-07-02,4000-SALES
ERP00071,TXN100070,9915.34,2026-07-18,4010-SALES-INTL
ERP00072,TXN100071,9582.66,2026-07-16,4020-SUBSCRIPTIONS
ERP00073,TXN100072,5346.48,2026-08-14,4000-SALES
ERP00074,TXN100073,48465.31,2026-08-13,4000-SALES
ERP00075,TXN100074,8732.4,2026-07-22,4000-SALES
ERP00076,TXN100075,43300.19,2026-07-03,4000-SALES
ERP00077,TXN100076,19259.17,2026-07-26,4010-SALES-INTL
ERP00078,TXN100077,14619.84,2026-08-11,4020-SUBSCRIPTIONS
ERP00079,TXN100078,49773.42,2026-06-27,4020-SUBSCRIPTIONS
ERP00080,TXN100079,24590.23,2026-06-27,4000-SALES
ERP00081,TXN100080,48451.11,2026-07-18,4020-SUBSCRIPTIONS
ERP00082,TXN100081,3517.4,2026-08-03,4000-SALES
ERP00083,TXN100082,29416.79,2026-07-07,4020-SUBSCRIPTIONS
ERP00084,TXN100083,8292.92,2026-08-03,4000-SALES
ERP00085,TXN100084,3891.81,2026-06-26,4000-SALES
ERP00086,TXN100085,20486.89,2026-07-02,4020-SUBSCRIPTIONS
ERP00087,TXN100086,12687.66,2026-08-01,4010-SALES-INTL
ERP00088,TXN100087,33039.97,2026-07-08,4010-SALES-INTL
ERP00089,TXN100088,46767.96,2026-07-10,4020-SUBSCRIPTIONS
ERP00090,TXN100089,16052.1,2026-07-17,4000-SALES
ERP00091,TXN100090,33748.67,2026-07-30,4010-SALES-INTL
ERP00092,TXN100091,46486.41,2026-07-12,4000-SALES
ERP00093,TXN100092,23185.13,2026-07-15,4000-SALES
ERP00094,TXN100093,4126.41,2026-07-31,4010-SALES-INTL
ERP00095,TXN100094,7056.6,2026-07-20,4000-SALES
ERP00096,TXN100095,44023.88,2026-08-14,4000-SALES
ERP00097,TXN100096,22190.14,2026-07-18,4020-SUBSCRIPTIONS
ERP00098,TXN100097,26682.56,2026-06-26,4020-SUBSCRIPTIONS
ERP00099,TXN100098,15319.25,2026-07-23,4000-SALES
ERP00100,TXN100099,13591.06,2026-08-04,4020-SUBSCRIPTIONS
ERP00101,TXN100100,8194.67,2026-07-11,4000-SALES
ERP00102,TXN100101,36021.8,2026-08-12,4020-SUBSCRIPTIONS
ERP00103,TXN100102,42719.18,2026-07-12,4010-SALES-INTL
ERP00104,TXN100103,45314.16,2026-07-25,4000-SALES
ERP00105,TXN100104,31897.08,2026-07-22,4000-SALES
ERP00106,TXN100105,675.51,2026-07-21,4020-SUBSCRIPTIONS
ERP00107,TXN100106,49000.0,2026-07-09,4010-SALES-INTL
ERP00108,TXN100107,27808.18,2026-07-22,4000-SALES
ERP00109,TXN100108,6037.76,2026-07-24,4020-SUBSCRIPTIONS
ERP00110,TXN100109,45244.46,2026-08-11,4010-SALES-INTL
ERP00111,TXN100110,21774.44,2026-07-25,4000-SALES
ERP00112,TXN100111,44996.77,2026-07-23,4000-SALES
ERP00113,TXN100112,33513.2,2026-06-25,4020-SUBSCRIPTIONS
ERP00114,TXN100113,44264.67,2026-06-30,4020-SUBSCRIPTIONS
ERP00115,TXN100114,37599.14,2026-07-11,4000-SALES
ERP00116,TXN100115,44130.1,2026-06-23,4010-SALES-INTL
ERP00117,TXN100116,39228.13,2026-07-10,4020-SUBSCRIPTIONS
ERP00118,TXN100117,43271.17,2026-07-04,4010-SALES-INTL
ERP00119,TXN100118,8380.29,2026-08-13,4010-SALES-INTL
ERP00120,TXN100119,43672.26,2026-08-11,4000-SALES
ERP00121,TXN100120,10378.86,2026-07-08,4010-SALES-INTL
ERP00122,TXN100121,15606.95,2026-07-19,4000-SALES
ERP00123,TXN100122,11534.72,2026-07-20,4010-SALES-INTL
ERP00124,TXN100123,16748.97,2026-08-14,4010-SALES-INTL
ERP00125,TXN100124,17881.73,2026-07-30,4020-SUBSCRIPTIONS
ERP00126,TXN100125,49066.91,2026-07-25,4000-SALES
ERP00127,TXN100126,6209.42,2026-07-30,4000-SALES
ERP00128,TXN100127,29239.19,2026-08-17,4010-SALES-INTL
ERP00129,TXN100128,36562.98,2026-07-21,4020-SUBSCRIPTIONS
ERP00130,TXN100129,6224.47,2026-08-02,4000-SALES
ERP00131,TXN100130,13108.76,2026-07-14,4000-SALES
ERP00132,TXN100131,26236.06,2026-06-25,4020-SUBSCRIPTIONS
ERP00133,TXN100132,36111.78,2026-08-01,4000-SALES
ERP00134,TXN100133,18528.96,2026-08-13,4010-SALES-INTL
ERP00135,TXN100134,33337.68,2026-08-16,4010-SALES-INTL
ERP00136,TXN100135,25602.56,2026-08-06,4010-SALES-INTL
ERP00137,TXN100136,20418.82,2026-07-24,4000-SALES
ERP00138,TXN100137,9996.08,2026-07-29,4010-SALES-INTL
ERP00139,TXN100138,34027.24,2026-07-17,4020-SUBSCRIPTIONS
ERP00140,TXN100139,28670.71,2026-08-14,4000-SALES
ERP00141,TXN100140,15541.81,2026-07-14,4020-SUBSCRIPTIONS
ERP00142,TXN100141,30529.75,2026-06-26,4010-SALES-INTL
ERP00143,TXN100142,22386.91,2026-07-07,4010-SALES-INTL
ERP00144,TXN100143,39789.9,2026-07-04,4000-SALES
ERP00145,TXN100144,33113.11,2026-07-28,4020-SUBSCRIPTIONS
ERP00146,TXN100145,31830.57,2026-07-04,4000-SALES
ERP00147,TXN100146,33803.39,2026-08-18,4000-SALES
ERP00148,TXN100147,7794.02,2026-07-29,4010-SALES-INTL
ERP00149,TXN100148,30758.06,2026-08-19,4010-SALES-INTL
ERP00150,TXN100149,21014.83,2026-07-22,4000-SALES
ERP00151,TXN100150,36058.12,2026-06-26,4000-SALES
ERP00152,TXN100151,32974.87,2026-06-29,4000-SALES
ERP00153,TXN100152,39031.81,2026-08-09,4020-SUBSCRIPTIONS
ERP00154,TXN100153,26138.91,2026-08-06,4000-SALES
ERP00155,TXN100154,45914.77,2026-07-19,4000-SALES
ERP00156,TXN100155,40170.12,2026-08-04,4020-SUBSCRIPTIONS
ERP00157,TXN100156,29974.89,2026-07-01,4010-SALES-INTL
ERP00158,TXN100157,30826.29,2026-08-07,4020-SUBSCRIPTIONS
ERP00159,TXN100158,21623.67,2026-07-24,4010-SALES-INTL
ERP00160,TXN100159,44911.8,2026-07-18,4010-SALES-INTL
ERP00161,TXN100160,22778.45,2026-07-19,4020-SUBSCRIPTIONS
ERP00162,TXN100161,14226.91,2026-08-01,4010-SALES-INTL
ERP00163,TXN100162,31524.05,2026-08-08,4000-SALES
ERP00164,TXN100163,35820.47,2026-07-21,4010-SALES-INTL
ERP00165,TXN100164,44704.83,2026-07-22,4000-SALES
ERP00166,TXN100165,19460.25,2026-08-03,4000-SALES
ERP00167,TXN100166,3679.33,2026-07-22,4020-SUBSCRIPTIONS
ERP00168,TXN100167,23563.25,2026-07-23,4010-SALES-INTL
ERP00169,TXN100168,19779.1,2026-07-10,4020-SUBSCRIPTIONS
ERP00170,TXN100169,1466.83,2026-07-19,4020-SUBSCRIPTIONS
ERP00171,TXN100170,19328.86,2026-07-02,4010-SALES-INTL
ERP00172,TXN100171,27141.92,2026-07-10,4020-SUBSCRIPTIONS
ERP00173,TXN100172,44941.66,2026-07-19,4010-SALES-INTL
ERP00174,TXN100173,22073.88,2026-07-21,4010-SALES-INTL
ERP00175,TXN100174,33609.24,2026-07-02,4020-SUBSCRIPTIONS
ERP00176,TXN100175,8669.71,2026-08-08,4000-SALES
ERP00177,TXN100176,49045.74,2026-07-17,4010-SALES-INTL
ERP00178,TXN100177,29798.69,2026-08-09,4000-SALES
ERP00179,TXN100178,32316.11,2026-06-28,4010-SALES-INTL
ERP00180,TXN100179,9495.59,2026-07-22,4010-SALES-INTL
ERP00181,TXN100180,10977.18,2026-08-16,4010-SALES-INTL
ERP00182,TXN100181,14273.7,2026-07-14,4010-SALES-INTL
ERP00183,TXN100182,12987.44,2026-08-19,4000-SALES
ERP00184,TXN100183,37576.7,2026-07-13,4010-SALES-INTL
ERP00185,TXN100184,11599.0,2026-07-09,4020-SUBSCRIPTIONS
ERP00186,TXN100185,2492.78,2026-08-19,4000-SALES
ERP00187,TXN100186,10368.35,2026-07-20,4000-SALES
ERP00188,TXN100187,6747.94,2026-07-18,4020-SUBSCRIPTIONS
ERP00189,TXN100188,47413.97,2026-07-04,4010-SALES-INTL
ERP00190,TXN100189,38461.46,2026-07-06,4020-SUBSCRIPTIONS
ERP00191,TXN100190,48204.87,2026-08-19,4000-SALES
ERP00192,TXN100191,48253.68,2026-08-07,4000-SALES
ERP00193,TXN100192,46479.91,2026-08-14,4010-SALES-INTL
ERP00194,TXN100193,20134.39,2026-08-03,4020-SUBSCRIPTIONS
ERP00195,TXN100194,12521.04,2026-08-17,4010-SALES-INTL
ERP00196,TXN100195,42589.52,2026-07-19,4020-SUBSCRIPTIONS
ERP00197,TXN100196,39240.45,2026-08-04,4010-SALES-INTL
ERP00198,TXN100197,33245.31,2026-08-09,4020-SUBSCRIPTIONS
ERP00199,TXN100198,17390.94,2026-07-25,4000-SALES
ERP00200,TXN100199,21959.41,2026-07-25,4010-SALES-INTL
ERP00201,TXN100200,35511.78,2026-07-31,4020-SUBSCRIPTIONS
ERP00202,TXN100201,13869.08,2026-08-11,4010-SALES-INTL
ERP00203,TXN100202,41373.86,2026-08-06,4010-SALES-INTL
ERP00204,TXN100203,42659.8,2026-08-10,4000-SALES
ERP00205,TXN100204,14306.95,2026-07-05,4010-SALES-INTL
ERP00206,TXN100205,28707.56,2026-07-04,4010-SALES-INTL
ERP00207,TXN100206,1920.65,2026-07-16,4000-SALES
ERP00208,TXN100207,24633.72,2026-07-02,4010-SALES-INTL
ERP00209,TXN100208,17346.77,2026-08-06,4020-SUBSCRIPTIONS
ERP00210,TXN100209,44065.31,2026-08-10,4020-SUBSCRIPTIONS
ERP00211,TXN100210,47429.1,2026-08-15,4020-SUBSCRIPTIONS
ERP00212,TXN100211,20618.19,2026-08-11,4000-SALES
ERP00213,TXN100212,34685.16,2026-08-02,4010-SALES-INTL
ERP00214,TXN100213,22684.64,2026-06-23,4010-SALES-INTL
ERP00215,TXN100214,11469.02,2026-08-18,4010-SALES-INTL
ERP00216,TXN100215,23926.39,2026-07-29,4020-SUBSCRIPTIONS
ERP00217,TXN100216,27744.23,2026-07-16,4010-SALES-INTL
ERP00218,TXN100217,13910.36,2026-07-23,4000-SALES
ERP00219,TXN100218,36203.57,2026-07-07,4020-SUBSCRIPTIONS
ERP00220,TXN100219,27025.27,2026-08-19,4000-SALES
ERP00221,TXN100220,9981.28,2026-08-04,4010-SALES-INTL
ERP00222,TXN100221,38130.29,2026-07-07,4000-SALES
ERP00223,TXN100222,41715.1,2026-07-25,4010-SALES-INTL
ERP00224,TXN100223,9382.36,2026-08-13,4020-SUBSCRIPTIONS
ERP00225,TXN100224,6765.86,2026-08-09,4000-SALES
ERP00226,TXN100225,27891.27,2026-07-20,4000-SALES
ERP00227,TXN100226,32074.55,2026-07-02,4000-SALES
ERP00228,TXN100227,43699.63,2026-07-22,4010-SALES-INTL
ERP00229,TXN100228,22303.21,2026-07-21,4000-SALES
ERP00230,TXN100229,12997.68,2026-08-13,4000-SALES
ERP00231,TXN100230,4167.07,2026-07-30,4000-SALES
ERP00232,TXN100231,8010.49,2026-07-15,4010-SALES-INTL
ERP00233,TXN100232,4716.45,2026-06-23,4020-SUBSCRIPTIONS
ERP00234,TXN100233,38339.95,2026-07-08,4020-SUBSCRIPTIONS
ERP00235,TXN100234,11671.51,2026-08-19,4010-SALES-INTL
ERP00236,TXN100235,45470.97,2026-07-17,4020-SUBSCRIPTIONS
ERP00237,TXN100236,49506.55,2026-07-30,4000-SALES
ERP00238,TXN100237,30676.73,2026-07-27,4000-SALES
ERP00239,TXN100238,31462.99,2026-07-31,4000-SALES
ERP00240,TXN100239,8274.33,2026-06-27,4000-SALES
ERP00241,TXN100240,8248.36,2026-07-15,4020-SUBSCRIPTIONS
ERP00242,TXN100241,29893.65,2026-07-17,4000-SALES
ERP00243,TXN100242,14761.19,2026-07-06,4010-SALES-INTL
ERP00244,TXN100243,4023.4,2026-08-04,4020-SUBSCRIPTIONS
ERP00245,TXN100244,33228.56,2026-07-05,4010-SALES-INTL
ERP00246,TXN100245,6181.43,2026-08-02,4000-SALES
ERP00247,TXN100246,45466.37,2026-07-28,4000-SALES
ERP00248,TXN100247,3452.08,2026-08-08,4020-SUBSCRIPTIONS
ERP00249,TXN100248,37573.41,2026-07-04,4010-SALES-INTL
ERP00250,TXN100249,22238.1,2026-07-14,4010-SALES-INTL
ERP00251,TXN100250,35136.82,2026-08-16,4020-SUBSCRIPTIONS
ERP00252,TXN100251,27229.09,2026-07-18,4020-SUBSCRIPTIONS
ERP00253,TXN100252,2473.11,2026-07-18,4010-SALES-INTL
ERP00254,TXN100253,30383.83,2026-07-15,4000-SALES
ERP00255,TXN100254,48114.6,2026-08-16,4000-SALES
ERP00256,TXN100255,49978.83,2026-06-29,4000-SALES
ERP00257,TXN100256,38273.9,2026-08-01,4020-SUBSCRIPTIONS
ERP00258,TXN100257,32749.72,2026-07-22,4000-SALES
ERP00259,TXN100258,49848.8,2026-08-14,4010-SALES-INTL
ERP00260,TXN100259,48468.23,2026-08-14,4000-SALES
ERP00261,TXN100260,42957.79,2026-08-02,4010-SALES-INTL
ERP00262,TXN100261,14766.78,2026-07-20,4000-SALES
ERP00263,TXN100262,23013.88,2026-08-05,4010-SALES-INTL
ERP00264,TXN100263,6238.12,2026-07-02,4020-SUBSCRIPTIONS
ERP00265,TXN100264,41333.9,2026-06-28,4020-SUBSCRIPTIONS
ERP00266,TXN100265,23367.83,2026-08-06,4020-SUBSCRIPTIONS
ERP00267,TXN100266,18408.08,2026-08-19,4020-SUBSCRIPTIONS
