settlement_id,txn_ref,gross_amount,fee,tax,refund,net_amount,settled_date
STL00001,TXN100000,32151.63,490.32,88.26,0.0,31573.05,2026-07-04
STL00002,TXN100001,12622.15,206.94,37.25,0.0,12377.96,2026-07-15
STL00003,TXN100002,33996.62,813.26,146.39,0.0,33036.97,2026-08-15
STL00004,TXN100003,29729.38,455.39,81.97,0.0,29192.02,2026-06-26
STL00005,TXN100004,11322.58,227.06,40.87,0.0,11054.65,2026-06-26
STL00006,TXN100005,28281.63,626.73,112.81,0.0,27542.09,2026-07-15
STL00007,TXN100006,27474.6,472.68,85.08,0.0,26916.84,2026-06-24
STL00008,TXN100007,40566.81,611.14,110.01,0.0,39845.66,2026-07-20
STL00009,TXN100008,35057.9,645.15,116.13,0.0,34296.62,2026-07-03
STL00010,TXN100009,11158.03,252.56,45.46,0.0,10860.01,2026-07-27
STL00011,TXN100010,5090.92,81.29,14.63,0.0,4995.0,2026-07-06
STL00012,TXN100011,30384.44,701.01,126.18,0.0,29557.25,2026-07-29
STL00013,TXN100012,23241.53,377.63,67.97,0.0,22795.93,2026-07-22
STL00014,TXN100013,4400.61,78.91,14.2,0.0,4307.5,2026-07-30
STL00015,TXN100014,31116.73,734.89,132.28,0.0,30249.56,2026-07-09
STL00016,TXN100015,10018.29,157.24,28.3,0.0,9832.75,2026-06-30
STL00017,TXN100016,11780.96,210.81,37.95,0.0,11532.2,2026-08-07
STL00018,TXN100017,42838.23,1013.76,182.48,0.0,41641.99,2026-08-17
STL00019,TXN100018,14259.69,304.54,54.82,0.0,13900.33,2026-07-16
STL00020,TXN100019,8551.38,158.65,28.56,0.0,8364.17,2026-07-19
STL00021,TXN100020,13715.4,334.2,60.16,0.0,13321.04,2026-07-24
STL00022,TXN100021,4034.42,86.13,15.5,0.0,3932.79,2026-08-07
STL00023,TXN100022,36591.78,608.67,109.56,0.0,35873.55,2026-08-17
STL00024,TXN100023,13862.42,336.22,60.52,0.0,13465.68,2026-08-01
STL00025,TXN100024,28069.01,613.2,110.38,0.0,27345.43,2026-08-12
STL00026,TXN100025,40349.77,767.12,138.08,0.0,39444.57,2026-08-03
STL00027,TXN100026,10943.65,267.34,48.12,0.0,10628.19,2026-08-14
STL00028,TXN100027,16076.56,346.52,62.37,0.0,15667.67,2026-06-25
STL00029,TXN100028,44291.82,949.11,170.84,0.0,43171.87,2026-07-19
STL00030,TXN100029,13611.57,237.74,42.79,0.0,13331.04,2026-06-24
STL00031,TXN100030,27179.38,610.72,109.93,0.0,26458.73,2026-07-11
STL00032,TXN100031,44942.23,853.63,153.65,0.0,43934.95,2026-08-12
STL00033,TXN100032,49867.63,817.0,147.06,0.0,48903.57,2026-08-14
STL00034,TXN100033,5000.02,77.36,13.92,0.0,4908.74,2026-06-25
STL00035,TXN100034,8065.65,133.89,24.1,0.0,7907.66,2026-07-04
STL00036,TXN100035,21396.92,334.55,60.22,0.0,21002.15,2026-07-23
STL00037,TXN100036,29996.48,590.35,106.26,0.0,29299.87,2026-07-01
STL00038,TXN100037,48568.38,1146.59,206.39,0.0,47215.4,2026-08-14
STL00039,TXN100038,34174.03,551.76,99.32,0.0,33522.95,2026-08-16
STL00040,TXN100039,38545.64,709.31,127.68,0.0,37708.65,2026-08-04
STL00041,TXN100040,22020.88,430.23,77.44,0.0,21513.21,2026-07-13
STL00042,TXN100041,43854.72,773.33,139.2,0.0,42942.19,2026-08-05
STL00043,TXN100042,38217.13,767.28,138.11,0.0,37311.74,2026-06-26
STL00044,TXN100043,43590.67,783.95,141.11,0.0,42665.61,2026-06-29
STL00045,TXN100044,25629.31,435.42,78.38,0.0,25115.51,2026-07-26
STL00046,TXN100045,38244.28,779.95,140.39,0.0,37323.94,2026-08-10
STL00047,TXN100046,45965.43,964.79,173.66,0.0,44826.98,2026-08-18
STL00048,TXN100047,1464.1,35.56,6.4,0.0,1422.14,2026-07-12
STL00049,TXN100048,12352.89,215.05,38.71,0.0,12099.13,2026-07-28
STL00050,TXN100049,47374.0,751.19,135.21,0.0,46487.6,2026-06-29
STL00051,TXN100050,40893.15,1013.33,182.4,0.0,39697.42,2026-07-26
STL00052,TXN100051,38408.8,625.45,112.58,0.0,37670.77,2026-08-15
STL00053,TXN100052,47369.01,788.75,141.97,0.0,46438.29,2026-08-07
STL00054,TXN100053,43685.44,840.13,151.22,1379.23,41314.86,2026-08-06
STL00055,TXN100054,34648.45,766.75,138.01,0.0,33743.69,2026-06-25
STL00056,TXN100055,49759.89,1069.78,192.56,0.0,48497.55,2026-07-10
STL00057,TXN100056,45030.9,878.77,158.18,0.0,43993.95,2026-08-01
STL00058,TXN100057,11622.52,213.63,38.45,0.0,11370.44,2026-07-31
STL00059,TXN100058,27919.12,583.07,104.95,0.0,27231.1,2026-07-21
STL00060,TXN100059,4014.16,85.55,15.4,0.0,3913.21,2026-08-16
STL00061,TXN100060,3836.32,58.75,10.57,0.0,3767.0,2026-06-29
STL00062,TXN100061,4007.44,69.65,12.54,0.0,3925.25,2026-08-14
STL00063,TXN100062,24528.02,500.18,90.03,0.0,23937.81,2026-07-01
STL00064,TXN100063,46807.95,969.41,174.49,0.0,45664.05,2026-07-16
STL00065,TXN100064,12528.36,247.18,44.49,0.0,12236.69,2026-07-17
STL00066,TXN100065,9925.29,158.5,28.53,0.0,9738.26,2026-08-19
STL00067,TXN100066,18037.73,344.72,62.05,0.0,17630.96,2026-07-24
STL00068,TXN100067,3181.47,68.51,12.33,0.0,3100.63,2026-07-23
STL00069,TXN100068,5371.68,102.2,18.4,0.0,5251.08,2026-07-01
STL00070,TXN100069,40129.33,645.79,116.24,0.0,39367.3,2026-07-03
STL00071,TXN100070,9915.34,193.21,34.78,0.0,9687.35,2026-07-19
STL00072,TXN100071,9582.66,188.07,33.85,0.0,9360.74,2026-07-17
STL00073,TXN100072,5346.48,115.06,20.71,0.0,5210.71,2026-08-15
STL00074,TXN100073,48465.31,1175.95,211.67,0.0,47077.69,2026-08-14
STL00075,TXN100074,8732.4,173.39,31.21,0.0,8527.8,2026-07-23
STL00076,TXN100075,43300.19,1040.26,187.25,0.0,42072.68,2026-07-04
STL00077,TXN100076,19259.17,478.65,86.16,796.61,17897.75,2026-07-27
STL00078,TXN100077,14619.84,321.14,57.81,0.0,14240.89,2026-08-12
STL00079,TXN100078,49773.42,1023.23,184.18,0.0,48566.01,2026-06-28
STL00080,TXN100079,24590.23,415.55,74.8,0.0,24099.88,2026-06-28
STL00081,TXN100080,48451.11,1007.39,181.33,0.0,47262.39,2026-07-19
STL00082,TXN100081,3517.4,63.79,11.48,0.0,3442.13,2026-08-04
STL00083,TXN100082,29416.79,589.17,106.05,0.0,28721.57,2026-07-08
STL00084,TXN100083,8292.92,204.07,36.73,0.0,8052.12,2026-08-04
STL00085,TXN100084,3891.81,61.02,10.98,0.0,3819.81,2026-06-27
STL00086,TXN100085,20486.89,500.21,90.04,0.0,19896.64,2026-07-03
