txn_ref,proposed_bank_ids,matcher_method,matcher_confidence,verifier_verdict,verifier_confidence,reason,escalated_to_llm
TXN100000,BNK00001,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100001,BNK00002,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100002,BNK00003,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100003,BNK00004,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100004,BNK00005,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100005,BNK00006,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100007,BNK00008,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100008,BNK00009,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100009,BNK00010,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100010,BNK00011,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100011,BNK00012,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100012,BNK00013,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100013,BNK00014,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100014,BNK00015,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100015,BNK00016,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100016,BNK00017,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100017,BNK00018,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100018,BNK00019,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100019,BNK00020,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100020,BNK00021,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100021,BNK00022,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100022,BNK00023,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100023,BNK00024,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100025,BNK00027,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100026,BNK00028,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100027,BNK00029,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100028,BNK00030,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100029,BNK00031,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100030,BNK00032,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100031,BNK00033,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100032,BNK00034,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100034,BNK00035,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100035,BNK00036,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100036,BNK00037,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100037,BNK00038,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100039,BNK00040,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100040,BNK00041,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100041,BNK00042,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100042,BNK00043,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100043,BNK00044,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100044,BNK00045,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100045,BNK00046,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100046,BNK00047,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100047,BNK00048,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100048,BNK00049,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100049,BNK00050,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100050,BNK00051,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100051,BNK00052,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100052,BNK00053,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100053,BNK00054,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100054,BNK00055,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100055,BNK00056,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100056,BNK00057,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100057,BNK00058,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100058,BNK00059,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100059,BNK00060,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100060,BNK00062;BNK00061,llm-stub,0.7,RECONCILED,0.97,"Amount matches net_amount within Rs.1.0 tolerance.; Split across 2 bank rows, within policy limit - sum already checked in amount rule.",False
TXN100061,BNK00063,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100062,BNK00064,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100063,BNK00065,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100064,BNK00066,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100065,BNK00067,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
